repo_full_name,os,requested_php,primary_conclusion,repeat_run_a,repeat_a_conclusion,repeat_run_b,repeat_b_conclusion,repeat_status,portability_outcome,primary_job_url,repeat_a_job_url,repeat_b_job_url
AKAME007/laravel-vue-cli-3,macos-14,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200275776,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366391585,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355543
AKAME007/laravel-vue-cli-3,ubuntu-22.04,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200275204,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390796,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355153
AKAME007/laravel-vue-cli-3,windows-2022,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200275324,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366391483,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355278
Abdallah01win/StarterApi,macos-14,8.2,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270156,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385260,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351900
Abdallah01win/StarterApi,ubuntu-22.04,8.2,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270192,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385141,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351891
Abdallah01win/StarterApi,windows-2022,8.2,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270124,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385313,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351962
AhmadIkbalDjaya/momentum,macos-14,8.2,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271619,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366387116,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352898
AhmadIkbalDjaya/momentum,ubuntu-22.04,8.2,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271436,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366386907,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352708
AhmadIkbalDjaya/momentum,windows-2022,8.2,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271545,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366386824,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352844
AkibaAT/fvn.li,macos-14,8.5,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274916,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390761,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355089
AkibaAT/fvn.li,ubuntu-22.04,8.5,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274881,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390480,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354986
AkibaAT/fvn.li,windows-2022,8.5,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274773,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390594,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355060
BaseMax/FirstLaravelAPI,macos-14,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274541,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390412,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354913
BaseMax/FirstLaravelAPI,ubuntu-22.04,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274204,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390027,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354706
BaseMax/FirstLaravelAPI,windows-2022,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274376,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390305,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354840
BaseMax/LaravelTaskDDD,macos-14,8.1,success,35269909018,failure,35314890357,success,VARIABLE,PARTIALLY_REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271435,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366386948,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352728
BaseMax/LaravelTaskDDD,ubuntu-22.04,8.1,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270190,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385139,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351975
BaseMax/LaravelTaskDDD,windows-2022,8.1,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271330,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366386902,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352737
CholitaApp/cholita,macos-14,8.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273563,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366389179,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354129
CholitaApp/cholita,ubuntu-22.04,8.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273173,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388690,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354056
CholitaApp/cholita,windows-2022,8.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273503,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388671,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354058
Cut0x/forum-php,macos-14,8.3,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200272907,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388586,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353849
Cut0x/forum-php,ubuntu-22.04,8.3,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200272516,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388404,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353601
Cut0x/forum-php,windows-2022,8.3,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200272671,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388426,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353696
Devsome/silkpanel-cms,macos-14,8.3,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270273,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385361,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351903
Devsome/silkpanel-cms,ubuntu-22.04,8.3,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270253,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385321,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351893
Devsome/silkpanel-cms,windows-2022,8.3,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270360,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385140,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351899
Dziennik-Azayaka/azayaka,macos-14,8.3,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200272654,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388236,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353503
Dziennik-Azayaka/azayaka,ubuntu-22.04,8.3,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271939,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366387333,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353053
Dziennik-Azayaka/azayaka,windows-2022,8.3,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271947,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366387401,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353091
Helg18/megadownloaderrobot,macos-14,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274255,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390115,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354611
Helg18/megadownloaderrobot,ubuntu-22.04,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273859,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366389907,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354406
Helg18/megadownloaderrobot,windows-2022,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274166,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390056,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354638
HolgerHatGarKeineNode/einundzwanzig-portal,macos-14,8.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273260,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388810,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353846
HolgerHatGarKeineNode/einundzwanzig-portal,ubuntu-22.04,8.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273019,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388707,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353819
HolgerHatGarKeineNode/einundzwanzig-portal,windows-2022,8.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273186,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388818,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353859
HugoJF/csgo-servers-admin-panel,macos-14,5.6,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200276653,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366392948,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504356314
HugoJF/csgo-servers-admin-panel,ubuntu-22.04,5.6,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200276386,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366392210,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355944
HugoJF/csgo-servers-admin-panel,windows-2022,5.6,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200276438,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366392569,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355988
MateusHuebra/Termogram-bot,macos-14,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200276024,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366391994,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355877
MateusHuebra/Termogram-bot,ubuntu-22.04,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200275653,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366391758,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355661
MateusHuebra/Termogram-bot,windows-2022,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200275682,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366391811,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355669
MelonSmasher/Chocolatier,macos-14,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200276335,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366392313,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504356060
MelonSmasher/Chocolatier,ubuntu-22.04,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200276172,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366391870,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504356012
MelonSmasher/Chocolatier,windows-2022,7.4,success,35269909018,success,35314890357,success,STABLE_SUCCESS,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200276106,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366392077,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355996
