primary_run_id,primary_job_id,repo_full_name,os,requested_php,primary_conclusion,runtime_status,repeat_run_a,repeat_a_conclusion,repeat_a_job_id,repeat_run_b,repeat_b_conclusion,repeat_b_job_id,repeat_status,failure_stage,failure_category,portability_outcome,primary_job_url,repeat_a_job_url,repeat_b_job_url,evidence_source
35220810757,105200277330,AKAME007/dashboard,macos-14,7.4,success,AVAILABLE,35269909018,success,105366393318,35314890357,success,105504356632,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200277330,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366393318,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504356632,GitHub Actions job result / runtime evidence artifact
35220810757,105200277086,AKAME007/dashboard,ubuntu-22.04,7.4,success,AVAILABLE,35269909018,success,105366392992,35314890357,success,105504356452,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200277086,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366392992,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504356452,GitHub Actions job result / runtime evidence artifact
35220810757,105200277174,AKAME007/dashboard,windows-2022,7.4,success,AVAILABLE,35269909018,success,105366393222,35314890357,success,105504356561,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200277174,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366393222,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504356561,GitHub Actions job result / runtime evidence artifact
35220810757,105200275776,AKAME007/laravel-vue-cli-3,macos-14,7.4,success,AVAILABLE,35269909018,success,105366391585,35314890357,success,105504355543,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200275776,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366391585,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355543,GitHub Actions job result / runtime evidence artifact
35220810757,105200275204,AKAME007/laravel-vue-cli-3,ubuntu-22.04,7.4,success,AVAILABLE,35269909018,success,105366390796,35314890357,success,105504355153,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200275204,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390796,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355153,GitHub Actions job result / runtime evidence artifact
35220810757,105200275324,AKAME007/laravel-vue-cli-3,windows-2022,7.4,success,AVAILABLE,35269909018,success,105366391483,35314890357,success,105504355278,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200275324,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366391483,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355278,GitHub Actions job result / runtime evidence artifact
35220810757,105200270156,Abdallah01win/StarterApi,macos-14,8.2,success,AVAILABLE,35269909018,success,105366385260,35314890357,success,105504351900,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270156,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385260,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351900,GitHub Actions job result / runtime evidence artifact
35220810757,105200270192,Abdallah01win/StarterApi,ubuntu-22.04,8.2,success,AVAILABLE,35269909018,success,105366385141,35314890357,success,105504351891,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270192,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385141,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351891,GitHub Actions job result / runtime evidence artifact
35220810757,105200270124,Abdallah01win/StarterApi,windows-2022,8.2,success,AVAILABLE,35269909018,success,105366385313,35314890357,success,105504351962,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270124,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385313,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351962,GitHub Actions job result / runtime evidence artifact
35220810757,105200271619,AhmadIkbalDjaya/momentum,macos-14,8.2,success,AVAILABLE,35269909018,success,105366387116,35314890357,success,105504352898,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271619,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366387116,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352898,GitHub Actions job result / runtime evidence artifact
35220810757,105200271436,AhmadIkbalDjaya/momentum,ubuntu-22.04,8.2,success,AVAILABLE,35269909018,success,105366386907,35314890357,success,105504352708,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271436,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366386907,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352708,GitHub Actions job result / runtime evidence artifact
35220810757,105200271545,AhmadIkbalDjaya/momentum,windows-2022,8.2,success,AVAILABLE,35269909018,success,105366386824,35314890357,success,105504352844,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271545,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366386824,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352844,GitHub Actions job result / runtime evidence artifact
35220810757,105200274916,AkibaAT/fvn.li,macos-14,8.5,success,AVAILABLE,35269909018,success,105366390761,35314890357,success,105504355089,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274916,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390761,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355089,GitHub Actions job result / runtime evidence artifact
35220810757,105200274881,AkibaAT/fvn.li,ubuntu-22.04,8.5,success,AVAILABLE,35269909018,success,105366390480,35314890357,success,105504354986,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274881,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390480,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354986,GitHub Actions job result / runtime evidence artifact
35220810757,105200274773,AkibaAT/fvn.li,windows-2022,8.5,success,AVAILABLE,35269909018,success,105366390594,35314890357,success,105504355060,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274773,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390594,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504355060,GitHub Actions job result / runtime evidence artifact
35220810757,105200274541,BaseMax/FirstLaravelAPI,macos-14,7.4,success,AVAILABLE,35269909018,success,105366390412,35314890357,success,105504354913,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274541,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390412,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354913,GitHub Actions job result / runtime evidence artifact
35220810757,105200274204,BaseMax/FirstLaravelAPI,ubuntu-22.04,7.4,success,AVAILABLE,35269909018,success,105366390027,35314890357,success,105504354706,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274204,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390027,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354706,GitHub Actions job result / runtime evidence artifact
35220810757,105200274376,BaseMax/FirstLaravelAPI,windows-2022,7.4,success,AVAILABLE,35269909018,success,105366390305,35314890357,success,105504354840,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274376,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390305,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354840,GitHub Actions job result / runtime evidence artifact
35220810757,105200271435,BaseMax/LaravelTaskDDD,macos-14,8.1,success,AVAILABLE,35269909018,failure,105366386948,35314890357,success,105504352728,VARIABLE,,,PARTIALLY_REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271435,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366386948,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352728,GitHub Actions job result / runtime evidence artifact
35220810757,105200270190,BaseMax/LaravelTaskDDD,ubuntu-22.04,8.1,success,AVAILABLE,35269909018,success,105366385139,35314890357,success,105504351975,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270190,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385139,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351975,GitHub Actions job result / runtime evidence artifact
