project_id,repo_full_name,url,stars,license_x,created_at,size_kb_x,archived_x,fork_x,disabled_x,laravel_classification,artisan,app_dir,bootstrap_dir,config_dir,routes_dir,tests_dir_initial,recent_activity,parsed_pushed_at,tests_directory_present,phpunit_config_present,phpunit_config_file,composer_json_present,composer_lock_present,composer_test_script_present,composer_test_scripts,php_version_constraint,laravel_version_constraint,dockerfile_present,compose_present,compose_files,docker_present,eligible,exclusion_reason,screening_timestamp,latest_sha,pushed_at,updated_at,default_branch,github_api_status,archived_y,fork_y,disabled_y,language,license_y,stars_github,forks_count,open_issues,watchers,size_kb_y,environment_group
P406,HolgerHatGarKeineNode/einundzwanzig-portal,https://github.com/HolgerHatGarKeineNode/einundzwanzig-portal,,MIT,2025-11-21T03:26:21Z,9919.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-09T17:11:27+00:00,True,True,phpunit.xml,True,True,True,"test:lint: ['pint --parallel --test'] | test: ['Composer\\Config::disableProcessTimeout', '@php artisan config:clear --ansi', '@test:lint', '@putenv PHP_INI_SCAN_DIR=:tests/php.d-runtime', '@php artisan test --fresh']",^8.4,^13.0,False,False,,False,True,Eligible,2026-09-11T14:12:27.777611+00:00,31702cfc14169ea26ecd1e2432ba32208215a39f,2026-09-16T00:26:25Z,2026-09-16T00:27:01Z,master,SUCCESS,False,False,False,PHP,MIT,6,0,4,6,10818,^8.4__^13.0
P2050,CholitaApp/cholita,https://github.com/CholitaApp/cholita,,,2025-04-26T14:36:56Z,2074.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-07-01T17:41:55+00:00,True,True,phpunit.xml,True,True,True,phpunit: ./vendor/bin/paratest -c phpunit.xml,^8.4,^12.0,False,False,,False,True,Eligible,2026-09-11T14:34:25.688399+00:00,8e88ebc6f80504a1c0c43772383dbdb8fbb3208a,2025-07-01T17:41:55Z,2025-07-01T17:41:30Z,main,SUCCESS,False,False,False,PHP,,2,0,16,2,2074,^8.4__^12.0
P1936,Helg18/megadownloaderrobot,https://github.com/Helg18/megadownloaderrobot,,,2020-05-23T06:04:42Z,1772.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-02-13T20:55:10+00:00,True,True,phpunit.xml,True,True,False,,^7.2.5,^7.0,False,False,,False,True,Eligible,2026-09-11T14:32:44.827268+00:00,e18a2174f777bfbc75c2971d8ca853dcd7cf88d1,2026-02-13T20:55:10Z,2025-11-06T16:43:22Z,master,SUCCESS,False,False,False,PHP,,17,18,29,17,1772,^7.2.5__^7.0
P3490,BaseMax/FirstLaravelAPI,https://github.com/BaseMax/FirstLaravelAPI,,,2021-04-06T21:32:41Z,9842.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-08-04T17:07:29+00:00,True,True,phpunit.xml,True,True,False,,^7.3|^8.0,^8.12,False,False,,False,True,Eligible,2026-09-11T14:54:40.677795+00:00,13cb2b0cf0720114577ddc1839b931306156a084,2026-08-04T17:07:29Z,2026-07-21T18:47:38Z,main,SUCCESS,False,False,False,PHP,,12,5,1,12,9842,^7.3|^8.0__^8.12
P1217,AkibaAT/fvn.li,https://github.com/AkibaAT/fvn.li,,MIT,2024-03-04T23:31:21Z,24746.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-07T14:13:19+00:00,True,True,phpunit.xml,True,True,True,"test: ['@test:all'] | test:php: php artisan test --env=testing --testsuite=Unit,Feature | test:browser: bun run test:e2e | test:a11y: bun run test:a11y | test:browser:pest: bash scripts/pest-browser-ddev.sh | test:frontend: ['bun run test:js:coverage', '@test:browser:pest'] | test:all: ['@test:php', '@test:frontend', '@test:browser', '@test:a11y'] | test:coverage: XDEBUG_MODE=coverage php artisan test --env=testing --testsuite=Unit,Feature --coverage | test:coverage:clover: mkdir -p build/logs && XDEBUG_MODE=coverage php artisan test --env=testing --testsuite=Unit,Feature --coverage-clover=build/logs/clover.xml | test:coverage:audit: php scripts/audit-php-coverage.php build/logs/clover.xml | test:parallel: php artisan test --env=testing --parallel | test:unit: php artisan test --env=testing --testsuite=Unit | test:feature: php artisan test --env=testing --testsuite=Feature | migrate:test: php artisan migrate:fresh --seed --env=testing",^8.5,^13.0,False,False,,False,True,Eligible,2026-09-11T14:23:19.187083+00:00,afc2ea11b6edbf5203543275164a8767b88aad93,2026-09-14T18:33:38Z,2026-09-14T18:01:47Z,development,SUCCESS,False,False,False,PHP,MIT,10,4,2,10,25038,^8.5__^13.0
P1284,AKAME007/laravel-vue-cli-3,https://github.com/AKAME007/laravel-vue-cli-3,,,2025-06-05T01:05:05Z,485.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-06-05T01:06:10+00:00,True,True,phpunit.xml,True,True,False,,^7.1.3,5.6.*,False,False,,False,True,Eligible,2026-09-11T14:24:05.993918+00:00,f3a4e5d75cd97ea98008affb14db65446f4fed6b,2025-06-05T01:06:10Z,2025-07-29T14:31:00Z,master,SUCCESS,False,False,False,PHP,,11,0,0,11,485,^7.1.3__5.6.*
P2180,MateusHuebra/Termogram-bot,https://github.com/MateusHuebra/Termogram-bot,,,2022-03-03T15:49:17Z,419.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-01-18T19:05:20+00:00,True,True,phpunit.xml,True,True,False,,^7.3|^8.0,^8.75,False,False,,False,True,Eligible,2026-09-11T14:36:20.893316+00:00,ff7ae90ba59ab68dc34b9ff8cee8b9d618f4bd81,2026-01-18T19:05:20Z,2026-01-18T19:05:24Z,main,SUCCESS,False,False,False,PHP,,2,0,0,2,419,^7.3|^8.0__^8.75
P3647,MelonSmasher/Chocolatier,https://github.com/MelonSmasher/Chocolatier,,MIT,2017-07-21T21:32:55Z,4255.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-07-18T15:50:04+00:00,True,True,phpunit.xml,True,True,False,,^7.1.3,5.8.*,False,False,,False,True,Eligible,2026-09-11T14:56:34.417277+00:00,61c71f1fa2c98397cbe897637d48562175406cd7,2025-07-18T15:50:04Z,2025-07-18T15:50:07Z,master,SUCCESS,False,False,False,PHP,MIT,5,2,22,5,4255,^7.1.3__5.8.*
P3306,HugoJF/csgo-servers-admin-panel,https://github.com/HugoJF/csgo-servers-admin-panel,,GPL-3.0,2017-07-08T11:53:19Z,4415.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-02-26T16:31:47+00:00,True,True,phpunit.xml,True,True,False,,>=5.6.4,5.4.*,False,False,,False,True,Eligible,2026-09-11T14:52:18.234518+00:00,ee32ca5a13cdcdd169c59ae8d17dc74a9577b137,2026-02-26T16:31:47Z,2026-02-26T16:36:13Z,master,SUCCESS,False,False,False,PHP,GPL-3.0,2,0,0,2,4415,>=5.6.4__5.4.*
P3870,AKAME007/dashboard,https://github.com/AKAME007/dashboard,,,2025-06-05T00:39:35Z,10271.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-06-05T00:45:09+00:00,True,True,phpunit.xml,True,True,False,,^7.3|^8.0,^8.40,False,False,,False,True,Eligible,2026-09-11T14:59:49.158168+00:00,4752d9c57818e96bc75b83ca3b8cd90b2701f388,2025-06-05T00:45:09Z,2025-09-29T15:20:23Z,main,SUCCESS,False,False,False,PHP,,8,0,0,8,10271,^7.3|^8.0__^8.40
