project_id,repo_full_name,url,default_branch,latest_sha,stars,license,created_at,updated_at,pushed_at,size_kb,archived,fork,disabled,laravel_classification,artisan,app_dir,bootstrap_dir,config_dir,routes_dir,tests_dir_initial,recent_activity,parsed_pushed_at,tests_directory_present,phpunit_config_present,phpunit_config_file,composer_json_present,composer_lock_present,composer_test_script_present,composer_test_scripts,php_version_constraint,laravel_version_constraint,dockerfile_present,compose_present,compose_files,docker_present,eligible,exclusion_reason,screening_timestamp,php_min_version,php_max_version,php_constraint_count,php_multi_version,php_environment_group,laravel_min_version,laravel_max_version,laravel_constraint_count,laravel_multi_version,laravel_environment_group,environment_group,environment_complexity,testing_mechanism,activity_year
P038,Omar-Mega-Byte/eCommerce-Laravel,https://github.com/Omar-Mega-Byte/eCommerce-Laravel,main,,,,2024-07-02T15:23:37Z,2025-06-07T14:11:27Z,2025-02-24T20:30:40Z,19303.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-02-24T20:30:40+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^11.9,False,False,,False,True,Eligible,2026-09-11T14:06:55.061761+00:00,8.2.0,8.2.0,1,False,PHP-8.2,11.9.0,11.9.0,1,False,Laravel-11,PHP-8.2__Laravel-11,Single constraint,PHPUnit,2025
P066,maurocasas/fastindex,https://github.com/maurocasas/fastindex,main,,,Apache-2.0,2024-09-23T22:05:13Z,2026-08-06T12:38:59Z,2025-02-06T18:21:34Z,1429.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-02-06T18:21:34+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^11.9,False,False,,False,True,Eligible,2026-09-11T14:07:09.315943+00:00,8.2.0,8.2.0,1,False,PHP-8.2,11.9.0,11.9.0,1,False,Laravel-11,PHP-8.2__Laravel-11,Single constraint,PHPUnit,2025
P074,SjorsO/watchtower,https://github.com/SjorsO/watchtower,main,,,,2025-07-29T18:05:53Z,2026-08-15T14:49:42Z,2025-12-20T15:39:34Z,97.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-12-20T15:39:34+00:00,True,True,phpunit.xml,True,True,False,,^8.4,^12.0,False,False,,False,True,Eligible,2026-09-11T14:07:13.136506+00:00,8.4.0,8.4.0,1,False,PHP-8.4,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.4__Laravel-12,Single constraint,PHPUnit,2025
P085,ProMoath/Gheras-Manager-Back-End,https://github.com/ProMoath/Gheras-Manager-Back-End,main,,,,2025-12-19T04:57:57Z,2026-09-10T04:33:51Z,2026-09-10T04:33:52Z,141.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-10T04:33:52+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.10,False,False,,False,True,Eligible,2026-09-11T14:07:16.372605+00:00,8.1.0,8.1.0,1,False,PHP-8.1,10.10.0,10.10.0,1,False,Laravel-10,PHP-8.1__Laravel-10,Single constraint,PHPUnit,2026
P086,raflizocky/field-service-management,https://github.com/raflizocky/field-service-management,main,,,MIT,2025-06-18T12:49:59Z,2026-07-25T22:36:07Z,2025-06-27T11:57:42Z,991.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-06-27T11:57:42+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi', '@php artisan test']",^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:07:20.166172+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit + Composer test,2025
P092,jjdejong/phpip,https://github.com/jjdejong/phpip,master,,,GPL-3.0,2017-01-12T19:31:15Z,2026-09-07T14:46:43Z,2026-07-16T15:35:51Z,8897.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-07-16T15:35:51+00:00,True,True,phpunit.xml,True,True,False,,^8.3,^13.0,False,False,,False,True,Eligible,2026-09-11T14:07:32.375035+00:00,8.3.0,8.3.0,1,False,PHP-8.3,13.0.0,13.0.0,1,False,Laravel-13,PHP-8.3__Laravel-13,Single constraint,PHPUnit,2026
P101,mortenebak/tallstarter,https://github.com/mortenebak/tallstarter,main,,,,2025-03-02T09:05:42Z,2026-07-31T17:06:52Z,2026-09-06T10:35:53Z,1609.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-06T10:35:53+00:00,True,True,phpunit.xml,True,True,True,test:pest: ./vendor/bin/pest -p | test:pint: ./vendor/bin/pint | test:rector: ./vendor/bin/rector --dry-run | test:static: ./vendor/bin/phpstan analyse --memory-limit=2G,^8.2|^8.3|^8.4|^8.5,^12.2,False,False,,False,True,Eligible,2026-09-11T14:07:42.941144+00:00,8.2.0,8.5.0,4,True,"PHP-Multi[8.2,8.3,8.4,8.5]",12.2.0,12.2.0,1,False,Laravel-12,"PHP-Multi[8.2,8.3,8.4,8.5]__Laravel-12",Multi-PHP,PHPUnit + Composer test,2026
P104,spone12/forum,https://github.com/spone12/forum,master,,,,2020-05-05T10:13:50Z,2025-10-04T07:50:49Z,2025-10-04T07:50:45Z,17641.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-10-04T07:50:45+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.0,False,False,,False,True,Eligible,2026-09-11T14:07:46.890418+00:00,8.1.0,8.1.0,1,False,PHP-8.1,10.0.0,10.0.0,1,False,Laravel-10,PHP-8.1__Laravel-10,Single constraint,PHPUnit,2025
P111,engsahaly/laravel_course_level_2,https://github.com/engsahaly/laravel_course_level_2,master,,,,2024-03-04T19:58:35Z,2026-06-21T15:10:44Z,2025-01-29T07:46:03Z,454.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-01-29T07:46:03+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.10,False,False,,False,True,Eligible,2026-09-11T14:07:50.502384+00:00,8.1.0,8.1.0,1,False,PHP-8.1,10.10.0,10.10.0,1,False,Laravel-10,PHP-8.1__Laravel-10,Single constraint,PHPUnit,2025
P112,MarcosKlender/Larapark,https://github.com/MarcosKlender/Larapark,main,,,MIT,2023-04-07T03:11:05Z,2025-11-03T15:53:00Z,2025-11-03T15:52:57Z,501.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-11-03T15:52:57+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.0,False,False,,False,True,Eligible,2026-09-11T14:07:53.937386+00:00,8.1.0,8.1.0,1,False,PHP-8.1,10.0.0,10.0.0,1,False,Laravel-10,PHP-8.1__Laravel-10,Single constraint,PHPUnit,2025
